"Subnet","OverlappingSubnet","SubnetSite","OverlappingSite","SiteCollision","DCInSite"
"10.0.0.0","10.127.245.32","ISD","UK-S07441","True","True"
"10.0.0.0","10.196.20.0","ISD","US-S00121","True","True"
"10.0.0.0","10.198.8.0","ISD","US-S00114","True","True"
"10.0.0.0","10.199.198.0","ISD","US-S00194","True","True"
"10.0.0.0","10.196.42.0","ISD","US-S00221","True","True"
"10.0.0.0","10.197.164.0","ISD","US-S00237","True","True"
"10.0.0.0","10.197.158.0","ISD","US-S00199","True","True"
"10.0.0.0","10.222.110.0","ISD","US-S00212","True","True"
"10.0.0.0","10.194.146.0","ISD","US-S00208","True","True"
"10.0.0.0","10.68.156.0","ISD","US-S00254","True","True"
"10.0.0.0","10.196.14.0","ISD","US-S00108","True","True"
"10.0.0.0","10.194.22.0","ISD","US-S00188","True","True"
"10.0.0.0","10.135.32.0","ISD","BR-HOMEOFFICE","True","True"
"10.0.0.0","10.194.208.0","ISD","US-S00713","True","True"
"10.0.0.0","10.212.78.0","ISD","US-S00655","True","True"
"10.0.0.0","10.200.70.0","ISD","US-S00658","True","True"
"10.0.0.0","10.198.138.0","ISD","US-S00696","True","True"
"10.0.0.0","10.76.65.0","ISD","CAM-CostaRica-F2","True","True"
"10.0.0.0","10.147.176.0","ISD","US-S07035","True","True"
"10.0.0.0","10.70.168.0","ISD","US-S00723","True","True"
"10.0.0.0","10.220.130.0","ISD","US-S00720","True","True"
"10.0.0.0","10.147.96.0","ISD","US-S07078","True","True"
"10.0.0.0","10.158.48.0","ISD","CA-S07084","True","True"
"10.0.0.0","10.76.0.0","ISD","CAM-CostaRica-HO","True","True"
"10.0.0.0","10.156.216.0","ISD","UK-S07488","True","True"
"10.0.0.0","10.14.8.0","ISD","CN-HOMEOFFICE","True","True"
"10.0.0.0","10.147.184.0","ISD","US-S07035","True","True"
"10.0.0.0","10.203.182.0","ISD","US-S00656","True","True"
"10.0.0.0","10.67.236.0","ISD","US-S00643","True","True"
"10.0.0.0","10.200.82.0","ISD","US-S00765","True","True"
"10.0.0.0","10.164.70.0","ISD","US-S08234","True","True"
"10.0.0.0","10.218.162.0","ISD","US-S00662","True","True"
"10.0.0.0","10.201.114.0","ISD","US-S00549","True","True"
"10.0.0.0","10.70.112.0","ISD","US-S00584","True","True"
"10.0.0.0","10.155.152.0","ISD","US-S07023","True","True"
"10.0.0.0","10.201.116.0","ISD","US-S00571","True","True"
"10.0.0.0","10.197.214.0","ISD","US-S00715","True","True"
"10.0.0.0","10.147.88.0","ISD","US-S07039","True","True"
"10.0.0.0","10.211.148.0","ISD","US-S00708","True","True"
"10.0.0.0","10.155.168.0","ISD","US-S07026","True","True"
"10.0.0.0","10.222.60.0","ISD","US-S00748","True","True"
"10.0.0.0","10.164.136.0","ISD","US-S08234","True","True"
"10.0.0.0","10.196.158.0","ISD","US-S00719","True","True"
"10.0.0.0","10.199.80.0","ISD","US-S00763","True","True"
"10.0.0.0","10.196.156.0","ISD","US-S00698","True","True"
"10.0.0.0","10.211.214.0","ISD","US-S00757","True","True"
"10.0.0.0","10.212.36.0","ISD","US-S00633","True","True"
"10.0.0.0","10.155.216.0","ISD","US-S07045","True","True"
"10.0.0.0","10.214.42.0","ISD","US-S00721","True","True"
"10.0.0.0","10.221.152.0","ISD","US-S00659","True","True"
"10.0.0.0","10.214.202.0","ISD","US-S00648","True","True"
"10.0.0.0","10.221.150.0","ISD","US-S00640","True","True"
"10.0.0.0","10.147.136.0","ISD","US-S04895","True","True"
"10.0.0.0","10.198.134.0","ISD","US-S00693","True","True"
"10.0.0.0","10.200.238.0","ISD","US-S00632","True","True"
"10.0.0.0","10.214.238.0","ISD","US-S00672","True","True"
"10.0.0.0","10.77.0.0","ISD","CAM-CostaRica-HO","True","True"
"10.0.0.0","10.213.212.0","ISD","US-S00777","True","True"
"10.0.0.0","10.218.30.0","ISD","US-S00624","True","True"
"10.0.0.0","10.196.164.0","ISD","US-S00771","True","True"
"10.0.0.0","10.198.76.0","ISD","US-S00744","True","True"
